year,definition,countries_0,countries_1,countries_2,countries_3
2009,individual,3,11,9,4
2009,minimum income guarantee,1,1,2,0
2009,negative income tax,0,2,1,0
2009,periodic,0,1,0,0
2009,regularly,1,1,0,1
2009,unconditional,1,0,2,1
2009,universal,3,6,6,2
2010,basic income,3,11,10,3
2010,cash payment,0,2,0,0
2010,in kind,1,0,0,1
2010,individual,6,14,6,3
2010,minimum income guarantee,0,1,0,0
2010,negative income tax,1,6,1,1
2010,periodic,2,1,1,0
2010,regularly,0,2,0,1
2010,unconditional,0,5,5,3
2010,universal,1,7,6,3
2011,basic income,4,8,7,4
2011,cash payment,1,0,0,0
2011,individual,8,9,7,3
2011,minimum income guarantee,0,0,1,0
2011,negative income tax,4,3,0,1
2011,periodic,0,1,1,0
2011,regularly,2,0,1,1
2011,unconditional,4,5,3,2
2011,universal,5,6,3,2
2012,basic income,11,10,8,2
2012,cash payment,2,0,0,0
2012,in kind,1,1,0,0
2012,individual,13,13,6,2
2012,minimum income guarantee,0,1,0,0
2012,negative income tax,3,5,2,1
2012,periodic,1,2,1,0
2012,regularly,3,2,0,0
2012,unconditional,7,6,5,1
2012,universal,10,8,5,0
2013,basic income,12,13,9,7
2013,cash payment,0,0,1,0
2013,in kind,0,0,0,1
2013,individual,12,15,10,9
2013,minimum income guarantee,2,0,0,0
2013,negative income tax,3,3,0,1
2013,periodic,1,1,1,0
2013,regularly,1,2,1,0
2013,unconditional,7,8,3,4
2013,universal,9,11,4,7
2014,basic income,11,5,21,6
2014,in kind,1,0,1,0
2014,individual,9,5,14,5
2014,minimum income guarantee,0,0,1,0
2014,negative income tax,0,5,2,0
2014,periodic,1,1,1,0
2014,regularly,1,2,3,0
2014,unconditional,4,3,13,3
2014,universal,5,2,14,3
2015,basic income,15,12,11,10
2015,cash payment,1,2,0,0
2015,in kind,0,1,0,1
2015,individual,14,11,9,10
2015,minimum income guarantee,1,1,1,0
2015,negative income tax,3,6,1,1
2015,periodic,1,1,0,0
2015,regularly,2,1,0,2
2015,unconditional,9,5,4,6
2015,universal,12,10,5,10
2016,basic income,17,9,20,10
2016,cash payment,1,1,0,0
2016,in kind,4,1,0,0
2016,individual,17,10,15,4
2016,minimum income guarantee,1,1,1,0
2016,negative income tax,4,3,5,2
2016,periodic,1,2,0,0
2016,regularly,3,0,2,0
2016,unconditional,7,4,10,5
2016,universal,11,7,9,8
2017,basic income,30,36,28,24
2017,cash payment,1,0,2,3
2017,in kind,1,4,1,3
2017,individual,18,16,15,17
2017,minimum income guarantee,0,0,1,1
2017,negative income tax,3,5,7,9
2017,periodic,0,2,0,2
2017,regularly,1,5,1,1
2017,unconditional,11,10,12,11
2017,universal,19,26,16,17
2018,basic income,34,49,26,17
2018,cash payment,1,5,1,2
2018,in kind,2,4,1,1
2018,individual,20,39,16,11
2018,minimum income guarantee,2,0,0,0
2018,negative income tax,7,10,7,5
2018,periodic,2,7,1,1
2018,regularly,3,4,1,3
2018,unconditional,14,23,15,5
2018,universal,23,41,14,11
2019,basic income,39,36,28,37
2019,cash payment,1,2,1,3
2019,in kind,2,1,2,0
2019,individual,18,21,13,13
2019,minimum income guarantee,0,1,0,1
2019,negative income tax,5,10,4,5
2019,periodic,0,6,0,1
2019,regularly,2,5,2,1
2019,unconditional,19,13,9,13
2019,universal,20,26,16,13
2020,basic income,27,54,22,32
2020,cash payment,0,3,0,0
2020,in kind,0,1,1,0
2020,individual,4,7,3,4
2020,minimum income guarantee,0,0,1,0
2020,negative income tax,1,2,1,0
2020,periodic,0,1,0,0
2020,unconditional,5,12,7,4
2020,universal,16,36,17,14
