community,discipline,n_discipline,share_discipline,author_most_used,title_most_used_ref,bib_most_used_ref,id_most_used_ref,n_most_used_ref,share_most_used_ref
3,Archaeology,61,0.0782051282051282,David A. Wise,"Work Response to Income Maintenance: Economic, Sociological, and Cultural Perspectives",Sonia R. Wright (1975),https://openalex.org/W4254784248,1.0,0.025
4,Law,159,0.6824034334763949,,,,,,
4,Market economy,94,0.4034334763948498,,,,,,
4,Economic growth,86,0.36909871244635195,,,,,,
4,Ecology,73,0.3133047210300429,,,,,,
4,Public economics,57,0.2446351931330472,,,,,,
4,Development economics,51,0.21888412017167383,,,,,,
4,Mechanical engineering,45,0.19313304721030042,,,,,,
4,Finance,41,0.1759656652360515,,,,,,
4,Political economy,35,0.15021459227467812,,,,,,
4,Economic system,33,0.14163090128755365,,,,,,
4,Social science,31,0.13304721030042918,,,,,,
4,Linguistics,28,0.12017167381974249,,,,,,
4,Labour economics,28,0.12017167381974249,,,,,,
4,Macroeconomics,25,0.1072961373390558,,,,,,
4,Mathematical analysis,24,0.10300429184549356,,,,,,
5,Market economy,37,0.5522388059701493,,,,,,
5,Labour economics,35,0.5223880597014925,,,,,,
5,Law,34,0.5074626865671642,,,,,,
5,Demographic economics,23,0.34328358208955223,,,,,,
5,Economic growth,18,0.26865671641791045,,,,,,
5,Public economics,18,0.26865671641791045,,,,,,
5,Archaeology,14,0.208955223880597,,,,,,
5,Macroeconomics,14,0.208955223880597,,,,,,
5,Accounting,11,0.16417910447761194,,,,,,
5,Mechanical engineering,10,0.14925373134328357,,,,,,
5,Finance,9,0.13432835820895522,,,,,,
5,Development economics,7,0.1044776119402985,,,,,,
5,Epistemology,6,0.08955223880597014,,,,,,
5,Algorithm,6,0.08955223880597014,,,,,,
5,Political economy,6,0.08955223880597014,,,,,,
