journal,year,n_theo,n_expe
Journal of social policy,1951,0,0
Journal of social policy,1952,0,0
Journal of social policy,1953,0,0
Journal of social policy,1954,0,0
Journal of social policy,1955,0,0
Journal of social policy,1956,0,0
Journal of social policy,1957,0,0
Journal of social policy,1958,0,0
Journal of social policy,1959,0,0
Journal of social policy,1960,0,0
Journal of social policy,1961,0,0
Journal of social policy,1962,0,0
Journal of social policy,1963,0,0
Journal of social policy,1964,0,0
Journal of social policy,1965,0,0
Journal of social policy,1966,0,0
Journal of social policy,1967,0,0
Journal of social policy,1968,0,0
Journal of social policy,1969,0,0
Journal of social policy,1970,0,0
Journal of social policy,1971,0,0
Journal of social policy,1972,0,0
Journal of social policy,1973,0,0
Journal of social policy,1974,1,0
Journal of social policy,1975,0,0
Journal of social policy,1976,0,0
Journal of social policy,1977,0,0
Journal of social policy,1978,0,0
Journal of social policy,1979,0,0
Journal of social policy,1980,0,0
Journal of social policy,1981,0,0
Journal of social policy,1982,1,0
Journal of social policy,1983,0,0
Journal of social policy,1984,1,0
Journal of social policy,1985,0,0
Journal of social policy,1986,0,0
Journal of social policy,1987,0,1
Journal of social policy,1988,0,1
Journal of social policy,1989,0,2
Journal of social policy,1990,1,0
Journal of social policy,1991,0,1
Journal of social policy,1992,0,0
Journal of social policy,1993,0,0
Journal of social policy,1994,0,1
Journal of social policy,1995,1,0
Journal of social policy,1996,2,0
Journal of social policy,1997,1,0
Journal of social policy,1998,0,1
Journal of social policy,1999,1,0
Journal of social policy,2000,2,0
Journal of social policy,2001,2,0
Journal of social policy,2002,0,0
Journal of social policy,2003,1,2
Journal of social policy,2004,0,0
Journal of social policy,2005,1,1
Journal of social policy,2006,0,0
Journal of social policy,2007,1,0
Journal of social policy,2008,0,0
Journal of social policy,2009,0,0
Journal of social policy,2010,0,0
Journal of social policy,2011,1,2
Journal of social policy,2012,2,0
Journal of social policy,2013,1,0
Journal of social policy,2014,2,0
Journal of social policy,2015,2,1
Journal of social policy,2016,0,2
Journal of social policy,2017,0,1
Journal of social policy,2018,3,0
Journal of social policy,2019,2,4
Journal of social policy,2020,2,1
Journal of European social policy,1900,0,0
Journal of European social policy,1901,0,0
Journal of European social policy,1902,0,0
Journal of European social policy,1903,0,0
Journal of European social policy,1904,0,0
Journal of European social policy,1905,0,0
Journal of European social policy,1906,0,0
Journal of European social policy,1907,0,0
Journal of European social policy,1908,0,0
Journal of European social policy,1909,0,0
Journal of European social policy,1910,0,0
Journal of European social policy,1911,0,0
Journal of European social policy,1912,0,0
Journal of European social policy,1913,0,0
Journal of European social policy,1914,0,0
Journal of European social policy,1915,0,0
Journal of European social policy,1916,0,0
Journal of European social policy,1917,0,0
Journal of European social policy,1918,0,0
Journal of European social policy,1919,0,0
Journal of European social policy,1920,0,0
Journal of European social policy,1921,0,0
Journal of European social policy,1922,0,0
Journal of European social policy,1923,0,0
Journal of European social policy,1924,0,0
Journal of European social policy,1925,0,0
Journal of European social policy,1926,0,0
Journal of European social policy,1927,0,0
Journal of European social policy,1928,0,0
Journal of European social policy,1929,0,0
Journal of European social policy,1930,0,0
Journal of European social policy,1931,0,0
Journal of European social policy,1932,0,0
Journal of European social policy,1933,0,0
Journal of European social policy,1934,0,0
Journal of European social policy,1935,0,0
Journal of European social policy,1936,0,0
Journal of European social policy,1937,0,0
Journal of European social policy,1938,0,0
Journal of European social policy,1939,0,0
Journal of European social policy,1940,0,0
Journal of European social policy,1941,0,0
Journal of European social policy,1942,0,0
Journal of European social policy,1943,0,0
Journal of European social policy,1944,0,0
Journal of European social policy,1945,0,0
Journal of European social policy,1946,0,0
Journal of European social policy,1947,0,0
Journal of European social policy,1948,0,0
Journal of European social policy,1949,0,0
Journal of European social policy,1950,0,0
Journal of European social policy,1951,0,0
Journal of European social policy,1952,0,0
Journal of European social policy,1953,0,0
Journal of European social policy,1954,0,0
Journal of European social policy,1955,0,0
Journal of European social policy,1956,0,0
Journal of European social policy,1957,0,0
Journal of European social policy,1958,0,0
Journal of European social policy,1959,0,0
Journal of European social policy,1960,0,0
Journal of European social policy,1961,0,0
Journal of European social policy,1962,0,0
Journal of European social policy,1963,0,0
Journal of European social policy,1964,0,0
Journal of European social policy,1965,0,0
Journal of European social policy,1966,0,0
Journal of European social policy,1967,0,0
Journal of European social policy,1968,0,0
Journal of European social policy,1969,0,0
Journal of European social policy,1970,0,0
Journal of European social policy,1971,0,0
Journal of European social policy,1972,0,0
Journal of European social policy,1973,0,0
Journal of European social policy,1974,0,0
Journal of European social policy,1975,0,0
Journal of European social policy,1976,0,0
Journal of European social policy,1977,0,0
Journal of European social policy,1978,0,0
Journal of European social policy,1979,0,0
Journal of European social policy,1980,0,0
Journal of European social policy,1981,0,0
Journal of European social policy,1982,0,0
Journal of European social policy,1983,0,0
Journal of European social policy,1984,0,0
Journal of European social policy,1985,0,0
Journal of European social policy,1986,0,0
Journal of European social policy,1987,0,0
Journal of European social policy,1988,0,0
Journal of European social policy,1989,0,0
Journal of European social policy,1990,0,0
Journal of European social policy,1991,0,0
Journal of European social policy,1992,0,0
Journal of European social policy,1993,2,0
Journal of European social policy,1994,0,1
Journal of European social policy,1995,0,1
Journal of European social policy,1996,1,1
Journal of European social policy,1997,0,2
Journal of European social policy,1998,0,0
Journal of European social policy,1999,1,1
Journal of European social policy,2000,1,1
Journal of European social policy,2001,4,0
Journal of European social policy,2002,0,1
Journal of European social policy,2003,0,0
Journal of European social policy,2004,1,2
Journal of European social policy,2005,0,0
Journal of European social policy,2006,1,1
Journal of European social policy,2007,0,0
Journal of European social policy,2008,1,0
Journal of European social policy,2009,1,0
Journal of European social policy,2010,0,3
Journal of European social policy,2011,2,2
Journal of European social policy,2012,1,3
Journal of European social policy,2013,0,1
Journal of European social policy,2014,0,0
Journal of European social policy,2015,1,0
Journal of European social policy,2016,0,0
Journal of European social policy,2017,2,0
Journal of European social policy,2018,0,4
Journal of European social policy,2019,0,3
Journal of European social policy,2020,0,4
The Review of income and wealth,1900,0,0
The Review of income and wealth,1901,0,0
The Review of income and wealth,1902,0,0
The Review of income and wealth,1903,0,0
The Review of income and wealth,1904,0,0
The Review of income and wealth,1905,0,0
The Review of income and wealth,1906,0,0
The Review of income and wealth,1907,0,0
The Review of income and wealth,1908,0,0
The Review of income and wealth,1909,0,0
The Review of income and wealth,1910,0,0
The Review of income and wealth,1911,0,0
The Review of income and wealth,1912,0,0
The Review of income and wealth,1913,0,0
The Review of income and wealth,1914,0,0
The Review of income and wealth,1915,0,0
The Review of income and wealth,1916,0,0
The Review of income and wealth,1917,0,0
The Review of income and wealth,1918,0,0
The Review of income and wealth,1919,0,0
The Review of income and wealth,1920,0,0
The Review of income and wealth,1921,0,0
The Review of income and wealth,1922,0,0
The Review of income and wealth,1923,0,0
The Review of income and wealth,1924,0,0
The Review of income and wealth,1925,0,0
The Review of income and wealth,1926,0,0
The Review of income and wealth,1927,0,0
The Review of income and wealth,1928,0,0
The Review of income and wealth,1929,0,0
The Review of income and wealth,1930,0,0
The Review of income and wealth,1931,0,0
The Review of income and wealth,1932,0,0
The Review of income and wealth,1933,0,0
The Review of income and wealth,1934,0,0
The Review of income and wealth,1935,0,0
The Review of income and wealth,1936,0,0
The Review of income and wealth,1937,0,0
The Review of income and wealth,1938,0,0
The Review of income and wealth,1939,0,0
The Review of income and wealth,1940,0,0
The Review of income and wealth,1941,0,0
The Review of income and wealth,1942,0,0
The Review of income and wealth,1943,0,0
The Review of income and wealth,1944,0,0
The Review of income and wealth,1945,0,0
The Review of income and wealth,1946,0,0
The Review of income and wealth,1947,0,0
The Review of income and wealth,1948,0,0
The Review of income and wealth,1949,0,0
The Review of income and wealth,1950,0,0
The Review of income and wealth,1951,0,1
The Review of income and wealth,1952,0,0
The Review of income and wealth,1953,0,1
The Review of income and wealth,1954,0,0
The Review of income and wealth,1955,0,0
The Review of income and wealth,1956,0,0
The Review of income and wealth,1957,0,1
The Review of income and wealth,1958,0,0
The Review of income and wealth,1959,0,0
The Review of income and wealth,1960,0,0
The Review of income and wealth,1961,0,1
The Review of income and wealth,1962,0,1
The Review of income and wealth,1963,0,0
The Review of income and wealth,1964,0,2
The Review of income and wealth,1965,0,0
The Review of income and wealth,1966,0,0
The Review of income and wealth,1967,0,0
The Review of income and wealth,1968,0,0
The Review of income and wealth,1969,0,0
The Review of income and wealth,1970,0,0
The Review of income and wealth,1971,0,0
The Review of income and wealth,1972,0,0
The Review of income and wealth,1973,0,1
The Review of income and wealth,1974,0,1
The Review of income and wealth,1975,0,0
The Review of income and wealth,1976,0,0
The Review of income and wealth,1977,0,3
The Review of income and wealth,1978,0,1
The Review of income and wealth,1979,0,0
The Review of income and wealth,1980,0,0
The Review of income and wealth,1981,0,0
The Review of income and wealth,1982,0,1
The Review of income and wealth,1983,0,1
The Review of income and wealth,1984,0,0
The Review of income and wealth,1985,0,0
The Review of income and wealth,1986,0,0
The Review of income and wealth,1987,0,0
The Review of income and wealth,1988,0,0
The Review of income and wealth,1989,0,0
The Review of income and wealth,1990,0,0
The Review of income and wealth,1991,0,1
The Review of income and wealth,1992,0,1
The Review of income and wealth,1993,1,0
The Review of income and wealth,1994,0,2
The Review of income and wealth,1995,0,0
The Review of income and wealth,1996,1,0
The Review of income and wealth,1997,0,0
The Review of income and wealth,1998,0,0
The Review of income and wealth,1999,0,0
The Review of income and wealth,2000,0,1
The Review of income and wealth,2001,0,1
The Review of income and wealth,2002,0,0
The Review of income and wealth,2003,0,0
The Review of income and wealth,2004,0,2
The Review of income and wealth,2005,0,1
The Review of income and wealth,2006,0,3
The Review of income and wealth,2007,0,2
The Review of income and wealth,2008,0,3
The Review of income and wealth,2009,0,2
The Review of income and wealth,2010,0,2
The Review of income and wealth,2011,0,2
The Review of income and wealth,2012,0,2
The Review of income and wealth,2013,0,3
The Review of income and wealth,2014,0,2
The Review of income and wealth,2015,0,1
The Review of income and wealth,2016,0,2
The Review of income and wealth,2017,0,0
The Review of income and wealth,2018,0,1
The Review of income and wealth,2019,0,0
The Review of income and wealth,2020,0,0
Social policy & administration,1900,0,0
Social policy & administration,1901,0,0
Social policy & administration,1902,0,0
Social policy & administration,1903,0,0
Social policy & administration,1904,0,0
Social policy & administration,1905,0,0
Social policy & administration,1906,0,0
Social policy & administration,1907,0,0
Social policy & administration,1908,0,0
Social policy & administration,1909,0,0
Social policy & administration,1910,0,0
Social policy & administration,1911,0,0
Social policy & administration,1912,0,0
Social policy & administration,1913,0,0
Social policy & administration,1914,0,0
Social policy & administration,1915,0,0
Social policy & administration,1916,0,0
Social policy & administration,1917,0,0
Social policy & administration,1918,0,0
Social policy & administration,1919,0,0
Social policy & administration,1920,0,0
Social policy & administration,1921,0,0
Social policy & administration,1922,0,0
Social policy & administration,1923,0,0
Social policy & administration,1924,0,0
Social policy & administration,1925,0,0
Social policy & administration,1926,0,0
Social policy & administration,1927,0,0
Social policy & administration,1928,0,0
Social policy & administration,1929,0,0
Social policy & administration,1930,0,0
Social policy & administration,1931,0,0
Social policy & administration,1932,0,0
Social policy & administration,1933,0,0
Social policy & administration,1934,0,0
Social policy & administration,1935,0,0
Social policy & administration,1936,0,0
Social policy & administration,1937,0,0
Social policy & administration,1938,0,0
Social policy & administration,1939,0,0
Social policy & administration,1940,0,0
Social policy & administration,1941,0,0
Social policy & administration,1942,0,0
Social policy & administration,1943,0,0
Social policy & administration,1944,0,0
Social policy & administration,1945,0,0
Social policy & administration,1946,0,0
Social policy & administration,1947,0,0
Social policy & administration,1948,0,0
Social policy & administration,1949,0,0
Social policy & administration,1950,0,0
Social policy & administration,1951,0,0
Social policy & administration,1952,0,0
Social policy & administration,1953,0,0
Social policy & administration,1954,0,0
Social policy & administration,1955,0,0
Social policy & administration,1956,0,0
Social policy & administration,1957,0,0
Social policy & administration,1958,0,0
Social policy & administration,1959,0,0
Social policy & administration,1960,0,0
Social policy & administration,1961,0,0
Social policy & administration,1962,0,0
Social policy & administration,1963,0,0
Social policy & administration,1964,0,0
Social policy & administration,1965,0,0
Social policy & administration,1966,0,0
Social policy & administration,1967,0,0
Social policy & administration,1968,0,0
Social policy & administration,1969,0,0
Social policy & administration,1970,0,0
Social policy & administration,1971,0,0
Social policy & administration,1972,0,0
Social policy & administration,1973,0,0
Social policy & administration,1974,0,1
Social policy & administration,1975,0,0
Social policy & administration,1976,0,0
Social policy & administration,1977,0,0
Social policy & administration,1978,0,0
Social policy & administration,1979,0,1
Social policy & administration,1980,0,0
Social policy & administration,1981,0,0
Social policy & administration,1982,0,0
Social policy & administration,1983,0,0
Social policy & administration,1984,0,0
Social policy & administration,1985,0,0
Social policy & administration,1986,0,0
Social policy & administration,1987,0,0
Social policy & administration,1988,0,1
Social policy & administration,1989,0,0
Social policy & administration,1990,0,1
Social policy & administration,1991,0,0
Social policy & administration,1992,0,0
Social policy & administration,1993,0,1
Social policy & administration,1994,0,0
Social policy & administration,1995,0,1
Social policy & administration,1996,0,0
Social policy & administration,1997,1,0
Social policy & administration,1998,0,1
Social policy & administration,1999,0,0
Social policy & administration,2000,0,1
Social policy & administration,2001,1,1
Social policy & administration,2002,0,1
Social policy & administration,2003,1,1
Social policy & administration,2004,1,0
Social policy & administration,2005,1,0
Social policy & administration,2006,0,0
Social policy & administration,2007,0,0
Social policy & administration,2008,0,1
Social policy & administration,2009,0,1
Social policy & administration,2010,0,2
Social policy & administration,2011,1,1
Social policy & administration,2012,0,2
Social policy & administration,2013,1,2
Social policy & administration,2014,0,1
Social policy & administration,2015,0,5
Social policy & administration,2016,0,0
Social policy & administration,2017,0,0
Social policy & administration,2018,0,3
Social policy & administration,2019,0,1
Social policy & administration,2020,1,4
The Journal of human resources,1900,0,0
The Journal of human resources,1901,0,0
The Journal of human resources,1902,0,0
The Journal of human resources,1903,0,0
The Journal of human resources,1904,0,0
The Journal of human resources,1905,0,0
The Journal of human resources,1906,0,0
The Journal of human resources,1907,0,0
The Journal of human resources,1908,0,0
The Journal of human resources,1909,0,0
The Journal of human resources,1910,0,0
The Journal of human resources,1911,0,0
The Journal of human resources,1912,0,0
The Journal of human resources,1913,0,0
The Journal of human resources,1914,0,0
The Journal of human resources,1915,0,0
The Journal of human resources,1916,0,0
The Journal of human resources,1917,0,0
The Journal of human resources,1918,0,0
The Journal of human resources,1919,0,0
The Journal of human resources,1920,0,0
The Journal of human resources,1921,0,0
The Journal of human resources,1922,0,0
The Journal of human resources,1923,0,0
The Journal of human resources,1924,0,0
The Journal of human resources,1925,0,0
The Journal of human resources,1926,0,0
The Journal of human resources,1927,0,0
The Journal of human resources,1928,0,0
The Journal of human resources,1929,0,0
The Journal of human resources,1930,0,0
The Journal of human resources,1931,0,0
The Journal of human resources,1932,0,0
The Journal of human resources,1933,0,0
The Journal of human resources,1934,0,0
The Journal of human resources,1935,0,0
The Journal of human resources,1936,0,0
The Journal of human resources,1937,0,0
The Journal of human resources,1938,0,0
The Journal of human resources,1939,0,0
The Journal of human resources,1940,0,0
The Journal of human resources,1941,0,0
The Journal of human resources,1942,0,0
The Journal of human resources,1943,0,0
The Journal of human resources,1944,0,0
The Journal of human resources,1945,0,0
The Journal of human resources,1946,0,0
The Journal of human resources,1947,0,0
The Journal of human resources,1948,0,0
The Journal of human resources,1949,0,0
The Journal of human resources,1950,0,0
The Journal of human resources,1951,0,0
The Journal of human resources,1952,0,0
The Journal of human resources,1953,0,0
The Journal of human resources,1954,0,0
The Journal of human resources,1955,0,0
The Journal of human resources,1956,0,0
The Journal of human resources,1957,0,0
The Journal of human resources,1958,0,0
The Journal of human resources,1959,0,0
The Journal of human resources,1960,0,0
The Journal of human resources,1961,0,0
The Journal of human resources,1962,0,0
The Journal of human resources,1963,0,0
The Journal of human resources,1964,0,0
The Journal of human resources,1965,0,0
The Journal of human resources,1966,0,0
The Journal of human resources,1967,0,0
The Journal of human resources,1968,2,2
The Journal of human resources,1969,0,1
The Journal of human resources,1970,0,1
The Journal of human resources,1971,1,0
The Journal of human resources,1972,0,0
The Journal of human resources,1973,0,2
The Journal of human resources,1974,4,5
The Journal of human resources,1975,2,0
The Journal of human resources,1976,0,2
The Journal of human resources,1977,0,2
The Journal of human resources,1978,0,3
The Journal of human resources,1979,3,4
The Journal of human resources,1980,1,8
The Journal of human resources,1981,0,0
The Journal of human resources,1982,0,0
The Journal of human resources,1983,0,0
The Journal of human resources,1984,0,1
The Journal of human resources,1985,0,1
The Journal of human resources,1986,0,0
The Journal of human resources,1987,0,0
The Journal of human resources,1988,0,2
The Journal of human resources,1989,0,0
The Journal of human resources,1990,0,1
The Journal of human resources,1991,0,0
The Journal of human resources,1992,0,0
The Journal of human resources,1993,0,0
The Journal of human resources,1994,0,0
The Journal of human resources,1995,0,1
The Journal of human resources,1996,0,0
The Journal of human resources,1997,0,0
The Journal of human resources,1998,0,0
The Journal of human resources,1999,1,0
The Journal of human resources,2000,0,0
The Journal of human resources,2001,0,0
The Journal of human resources,2002,0,0
The Journal of human resources,2003,0,0
The Journal of human resources,2004,0,0
The Journal of human resources,2005,0,0
The Journal of human resources,2006,0,0
The Journal of human resources,2007,0,0
The Journal of human resources,2008,0,0
The Journal of human resources,2009,0,0
The Journal of human resources,2010,0,0
The Journal of human resources,2011,0,0
The Journal of human resources,2012,0,0
The Journal of human resources,2013,0,0
The Journal of human resources,2014,0,0
The Journal of human resources,2015,0,0
The Journal of human resources,2016,0,0
The Journal of human resources,2017,0,0
The Journal of human resources,2018,0,0
The Journal of human resources,2019,0,0
The Journal of human resources,2020,0,0
Mergent's dividend achievers,1900,0,0
Mergent's dividend achievers,1901,0,0
Mergent's dividend achievers,1902,0,0
Mergent's dividend achievers,1903,0,0
Mergent's dividend achievers,1904,0,0
Mergent's dividend achievers,1905,0,0
Mergent's dividend achievers,1906,0,0
Mergent's dividend achievers,1907,0,0
Mergent's dividend achievers,1908,0,0
Mergent's dividend achievers,1909,0,0
Mergent's dividend achievers,1910,0,0
Mergent's dividend achievers,1911,0,0
Mergent's dividend achievers,1912,0,0
Mergent's dividend achievers,1913,0,0
Mergent's dividend achievers,1914,0,0
Mergent's dividend achievers,1915,0,0
Mergent's dividend achievers,1916,0,0
Mergent's dividend achievers,1917,0,0
Mergent's dividend achievers,1918,0,0
Mergent's dividend achievers,1919,0,0
Mergent's dividend achievers,1920,0,0
Mergent's dividend achievers,1921,0,0
Mergent's dividend achievers,1922,0,0
Mergent's dividend achievers,1923,0,0
Mergent's dividend achievers,1924,0,0
Mergent's dividend achievers,1925,0,0
Mergent's dividend achievers,1926,0,0
Mergent's dividend achievers,1927,0,0
Mergent's dividend achievers,1928,0,0
Mergent's dividend achievers,1929,0,0
Mergent's dividend achievers,1930,0,0
Mergent's dividend achievers,1931,0,0
Mergent's dividend achievers,1932,0,0
Mergent's dividend achievers,1933,0,0
Mergent's dividend achievers,1934,0,0
Mergent's dividend achievers,1935,0,0
Mergent's dividend achievers,1936,0,0
Mergent's dividend achievers,1937,0,0
Mergent's dividend achievers,1938,0,0
Mergent's dividend achievers,1939,0,0
Mergent's dividend achievers,1940,0,0
Mergent's dividend achievers,1941,0,0
Mergent's dividend achievers,1942,0,0
Mergent's dividend achievers,1943,0,0
Mergent's dividend achievers,1944,0,0
Mergent's dividend achievers,1945,0,0
Mergent's dividend achievers,1946,0,0
Mergent's dividend achievers,1947,0,0
Mergent's dividend achievers,1948,0,0
Mergent's dividend achievers,1949,0,0
Mergent's dividend achievers,1950,0,0
Mergent's dividend achievers,1951,0,0
Mergent's dividend achievers,1952,0,0
Mergent's dividend achievers,1953,0,0
Mergent's dividend achievers,1954,0,0
Mergent's dividend achievers,1955,0,0
Mergent's dividend achievers,1956,0,0
Mergent's dividend achievers,1957,0,0
Mergent's dividend achievers,1958,0,0
Mergent's dividend achievers,1959,0,0
Mergent's dividend achievers,1960,0,0
Mergent's dividend achievers,1961,0,0
Mergent's dividend achievers,1962,0,0
Mergent's dividend achievers,1963,0,0
Mergent's dividend achievers,1964,0,0
Mergent's dividend achievers,1965,0,0
Mergent's dividend achievers,1966,0,0
Mergent's dividend achievers,1967,0,0
Mergent's dividend achievers,1968,0,0
Mergent's dividend achievers,1969,0,0
Mergent's dividend achievers,1970,0,0
Mergent's dividend achievers,1971,0,0
Mergent's dividend achievers,1972,0,0
Mergent's dividend achievers,1973,0,0
Mergent's dividend achievers,1974,0,0
Mergent's dividend achievers,1975,0,0
Mergent's dividend achievers,1976,0,0
Mergent's dividend achievers,1977,0,0
Mergent's dividend achievers,1978,0,0
Mergent's dividend achievers,1979,0,0
Mergent's dividend achievers,1980,0,0
Mergent's dividend achievers,1981,0,0
Mergent's dividend achievers,1982,0,0
Mergent's dividend achievers,1983,0,0
Mergent's dividend achievers,1984,0,0
Mergent's dividend achievers,1985,0,0
Mergent's dividend achievers,1986,0,0
Mergent's dividend achievers,1987,0,0
Mergent's dividend achievers,1988,0,0
Mergent's dividend achievers,1989,0,0
Mergent's dividend achievers,1990,0,0
Mergent's dividend achievers,1991,0,0
Mergent's dividend achievers,1992,0,0
Mergent's dividend achievers,1993,0,0
Mergent's dividend achievers,1994,0,0
Mergent's dividend achievers,1995,0,0
Mergent's dividend achievers,1996,0,0
Mergent's dividend achievers,1997,0,0
Mergent's dividend achievers,1998,0,0
Mergent's dividend achievers,1999,0,0
Mergent's dividend achievers,2000,0,0
Mergent's dividend achievers,2001,0,0
Mergent's dividend achievers,2002,0,0
Mergent's dividend achievers,2003,0,0
Mergent's dividend achievers,2004,0,0
Mergent's dividend achievers,2005,0,14
Mergent's dividend achievers,2006,0,20
Mergent's dividend achievers,2007,0,5
Mergent's dividend achievers,2008,0,0
Mergent's dividend achievers,2009,0,0
Mergent's dividend achievers,2010,0,0
Mergent's dividend achievers,2011,0,0
Mergent's dividend achievers,2012,0,0
Mergent's dividend achievers,2013,0,0
Mergent's dividend achievers,2014,0,0
Mergent's dividend achievers,2015,0,0
Mergent's dividend achievers,2016,0,0
Mergent's dividend achievers,2017,0,0
Mergent's dividend achievers,2018,0,0
Mergent's dividend achievers,2019,0,0
Mergent's dividend achievers,2020,0,0
European journal of social security,1900,0,0
European journal of social security,1901,0,0
European journal of social security,1902,0,0
European journal of social security,1903,0,0
European journal of social security,1904,0,0
European journal of social security,1905,0,0
European journal of social security,1906,0,0
European journal of social security,1907,0,0
European journal of social security,1908,0,0
European journal of social security,1909,0,0
European journal of social security,1910,0,0
European journal of social security,1911,0,0
European journal of social security,1912,0,0
European journal of social security,1913,0,0
European journal of social security,1914,0,0
European journal of social security,1915,0,0
European journal of social security,1916,0,0
European journal of social security,1917,0,0
European journal of social security,1918,0,0
European journal of social security,1919,0,0
European journal of social security,1920,0,0
European journal of social security,1921,0,0
European journal of social security,1922,0,0
European journal of social security,1923,0,0
European journal of social security,1924,0,0
European journal of social security,1925,0,0
European journal of social security,1926,0,0
European journal of social security,1927,0,0
European journal of social security,1928,0,0
